Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
403        260             4445.63           4445.63           4445.63           2831.58           0                 
404        93              4590.33           4590.33           4590.33           4293.88           0                 
405        402             4606.57           4606.57           4606.57           1567.14           0                 
406        300             4632.43           4632.43           4632.43           1112.97           0                 
407        71              4652.98           4652.98           4652.98           5421.38           0                 
408        49              4686.6            4686.6            4686.6            4980.46           0                 
409        432             4691.64           4691.64           4691.64           3894.54           0                 
410        413             4738.56           4738.56           4738.56           1871.21           0                 
411        433             4748.21           4748.21           4748.21           5438.41           0                 
412        374             4754.52           4754.52           4754.52           3510.72           0                 
413        151             4781.64           4781.64           4781.64           1499.74           0                 
414        172             4841.32           4841.32           4841.32           2066.95           0                 
415        460             4881.14           4881.14           4881.14           2015.73           0                 
416        346             4894.78           4894.78           4894.78           1683.21           0                 
417        462             4987.98           4987.98           4987.98           5379.58           0                 
418        77              5055.13           5055.13           5055.13           3188.49           0                 
419        86              5064.02           5064.02           5064.02           5524.4            0                 
420        76              5110.61           5110.61           5110.61           4817.64           0                 
421        421             5632.83           5632.83           5632.83           1835.15           0                 
422        420             6310.08           6310.08           6310.08           2740.81           0                 
423        147             6391.53           6391.53           6391.53           2483.91           0                 
424        180             6462.82           6462.82           6462.82           3172.09           0                 
425        251             6557.97           6557.97           6557.97           2990.05           0                 
426        14              6647.79           6647.79           6647.79           3117.91           0                 
427        42              6692.3            6692.3            6692.3            7654.8            0                 
428        50              6801.4            6801.4            6801.4            5122.1            0                 
429        110             6808.46           6808.46           6808.46           3731.89           0                 
430        255             6899.18           6899.18           6899.18           2957.32           0                 
431        141             7238.43           7238.43           7238.43           3366.17           0                 
432        51              7251.29           7251.29           7251.29           8279.07           0                 
433        174             7521.13           7521.13           7521.13           4982.34           0                 
434        164             7848.47           7848.47           7848.47           6961.76           0                 
435        232             8104.18           8104.18           8104.18           6613.03           0                 
436        355             8421              8421              8421              4773.57           0                 
437        443             8426.66           8426.66           8426.66           2885.89           0                 
438        229             8443.28           8443.28           8443.28           5590.82           0                 
439        3               8523.36           8523.36           8523.36           3379.11           0                 
440        9               8578.86           8578.86           8578.86           3487.94           0                 
441        98              8634.66           8634.66           8634.66           7630.95           0                 
442        343             8687.15           8687.15           8687.15           3557.88           0                 
443        216             8805.28           8805.28           8805.28           6950.11           0                 
444        334             8883.4            8883.4            8883.4            3375.11           0                 
445        78              9265.46           9265.46           9265.46           6595.14           0                 
446        58              9397.51           9397.51           9397.51           3603.31           0                 
447        353             9399.69           9399.69           9399.69           10608.6           0                 
448        347             9417.37           9417.37           9417.37           3394.03           0                 
449        85              9467.94           9467.94           9467.94           8754.64           0                 
450        115             9943.55           9943.55           9943.55           4372.99           0                 
451        407             10818             10818             10818             16282.8           0                 
452        215             14623.1           14623.1           14623.1           2270.18           0                 
453        224             15444.9           15444.9           15444.9           4147.63           0                 
